place,lat,lon
Oberhausen,51.28,6.51
Offenbach,50.06,8.44
Offenburg,48.28,7.56
Oldenburg,53.09,8.13
Oranienburg,52.45,13.14
Ore Mts/Erzgebirge,50.27,12.55
Osnabruck,52.17,8.03
Ostfriesische Insein,53.42,7
Paderborn,51.42,8.45
Parchim,53.26,11.52
Passau,48.34,13.28
Peine,52.19,10.14
Pforzheim,48.52,8.41
Pirmasens,49.12,7.36
Plauen,50.3,12.08
Plockenstein,48.46,13.51
Potsdam,52.25,13.04
Puttgarden,54.3,11.1
Rathenow,52.37,12.19
Ravensburg,47.46,9.36
Recklinghausen,51..7,7.12
Regensburg,49.01,12.06
Reichenbach,50.37,12.17
Remscheid,51.11,7.12
Rendsburg,54.17,9.39
Reutlingen,48.29,9.12
Rhein-Main-Donau-Kanal,52.17,7.26
Rheine,52.17,7.26
Rheinland-Pfalz,50,7
Rhineland-Palatinate=Rheinland-Pfalz,50,7
Rhon,50.24,9.58
Riesa,51.17,13.17
Rostock,54.5,12.8
Rugen,54.22,13.24
Saale,51.56,11.54
Sachsen,50.55,13.1
Salzgitter,52.9,10.19
Salzwedel,52.52,11.1
Sassnitz,54.29,13.39
Sauerland,51.12,7.59
Saxony/Sachsen,50.55,13.1
Scjhleswig,54.31,9.34
Schwabische Alb,48.2,9.3
Schwedt,53.3,14.16
Schweinfurt,50.3,10.14
Schwerin,53.36,11.22
Speyer,49.29,8.25
Stade,53.35,9.29
Trier,49.45,6.38
Tubingen,48.31,9.4
Tuttlingen,47.58,8.48
Uelzen,52.57,10.32
Ulm,48.23,9.58
Villingen-Schwenningen,48.3,8.26
Vgogelsberg,50.31,9.12
Wangerooge,53.47,7.54
Wasserkuppe,50.29,9.55
Weiden,49.41,12.1
Weimar,50.58,11.19
Werra,51.24,9.39
Weser,53.36,8.28
Wetzlar,50.32,8.31
Wismar,53.54,11.29
Wittenberge,53,11.45
Worms,49.37,8.21
Wuppertal,51.16,7.12
Wurzburg,49.46,9.55
Thüringen,51.011,10.8453
Saarland,49.3964,7.023
Schleswig-Holstein,54.5239,9.5632
Sachsen-Anhalt,51.9503,11.6923
