"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","OA.Webseite.der.Institution","OA.Beauftragte.r","OA.Policy","OA.Leitlinie","Berliner.Erklärung","OA2020","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType","item","name","coord","lat","lon"
NA,"Niedersachsen","Kommunale Hochschule für Verwaltung in Niedersachsen (HSVN)","Hannover","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,45.83,39.55,"Hochschule",NA,NA,NA,NA,NA
"Q2035460","Niedersachsen","Ostfalia Hochschule für angewandte Wissenschaften","Wolfenbüttel","Hochschule","www.ostfalia.de/cms/de/bib/publizieren/open-access/",NA,"nein",NA,"nein","nein",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"33.33%",33.33,45.83,39.55,"Hochschule","http://www.wikidata.org/entity/Q2035460","Q2035460","Point(10.54861111 52.17666667)",52.17666667,10.54861111
"Q2044046","Niedersachsen","PFH Private Hochschule Göttingen","Göttingen","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,45.83,39.55,"Hochschule","http://www.wikidata.org/entity/Q2044046","Q2044046","Point(9.932658 51.539227)",51.539227,9.932658
NA,"Niedersachsen","Private Hochschule für Wirtschaft und Technik gGmbH","Vechta","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,45.83,39.55,"Hochschule",NA,NA,NA,NA,NA
"Q734324","Niedersachsen","Technische Universität Braunschweig","Braunschweig","Universität","www.tu-braunschweig.de/ub/publizieren-open-access/open-access-publizieren","Prof. Dr.-Ing. Peter Hecker (Hochschule)","ja",NA,"ja","ja",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,"100%",100,45.83,39.55,"Universität",NA,NA,NA,NA,NA
"Q505170","Niedersachsen","Leuphana Universität Lüneburg","Lüneburg","Universität","www.leuphana.de/services/miz/forschen-publizieren/open-access.html",NA,"ja",NA,"ja","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q505170","Q505170","Point(10.4011 53.2289)",53.2289,10.4011
"Q1607255","Niedersachsen","Tierärztliche Hochschule Hannover","Hannover","Universität","www.tiho-hannover.de/kliniken-institute/bibliothek/publizieren-und-forschen/open-access-finanzierung/allgemeine-informationen-zu-open-access/","Dr. Julia Dickel","nein",NA,"ja","nein",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,"66.67%",66.67,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q1607255","Q1607255","Point(9.765555555 52.369166666)",52.369166666667,9.7655555555556
"Q447354","Niedersachsen","Technische Universität Clausthal","Clausthal-Zellerfeld","Universität","www.ub.tu-clausthal.de/de/schulungen-und-fuehrungen/coffee-lectures/open-access/",NA,"ja",NA,"ja","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q447354","Universitat Tecnològica de Clausthal","Point(10.334444444 51.804722222)",51.804722222222,10.334444444444
"Q319333","Niedersachsen","Stiftung Universität Hildesheim","Hildesheim","Universität","www.uni-hildesheim.de/bibliothek/suchen-finden/weitere-kataloge/open-access/",NA,"ja",NA,"ja","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q319333","Q319333","Point(9.975 52.133333333)",52.133333333333,9.975
"Q597758","Niedersachsen","Carl von Ossietzky Universität Oldenburg","Oldenburg","Universität","uol.de/bis/forschen-und-publizieren/open-access",NA,"ja",NA,"ja","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q597758","Universitat d'Oldenburg","Point(8.182222 53.147778)",53.147778,8.182222
