"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType","add.OA_Website","add.OA_Beauftragte","add.OA_Beauftragte_URL","add.OA.Policy.URL","add.OA.Leitlinie.URL","add.Repositorium.URL","add.OA.Verlag.URL","additional.infos","item","name","coord","lat","lon","ZoomLevel"
"Q152171","Nordrhein-Westfalen","Rheinische Friedrich-Wilhelms-Universität Bonn","Bonn","Universität",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"33.33%",33.33,35.2,39.55,"Universität","www.uni-bonn.de/forschung/forschungsdezernat/7.1-forschungsfoerderung/open-access",NA,NA,NA,NA,"bonndoc.ulb.uni-bonn.de/xmlui/",NA," OA websites:<a href='www.uni-bonn.de/forschung/forschungsdezernat/7.1-forschungsfoerderung/open-access'>www.uni-bonn.de/forschung/forschungsdezernat/7.1-forschungsfoerderung/open-access</a> OA Repositorium URL:<a href='bonndoc.ulb.uni-bonn.de/xmlui/'>bonndoc.ulb.uni-bonn.de/xmlui/</a>","http://www.wikidata.org/entity/Q152171","Universitat de Bonn","Point(7.102222222 50.733888888)",50.733888888889,7.1022222222222,"3"
"Q1522976","Sachsen-Anhalt","Leibniz-Institut für Pflanzenbiochemie (IPB)","Halle","Forschungsorganisation: Leibniz-Gemeinschaft",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,51.52,39.55,"ForschungsInstitution","https://www.ipb-halle.de/oeffentlichkeit/aktuelles/artikel-detail/open-access-freier-zugang-zu-forschungsdaten/",NA,NA,"https://www.ipb-halle.de/fileadmin/Infrastruktur/Bibliothek/2016_IPB_open_access_Leitlinie_DE.pdf",NA,"http://www.leibnizopen.de/home/index.html",NA," OA websites:<a href='https://www.ipb-halle.de/oeffentlichkeit/aktuelles/artikel-detail/open-access-freier-zugang-zu-forschungsdaten/'>https://www.ipb-halle.de/oeffentlichkeit/aktuelles/artikel-detail/open-access-freier-zugang-zu-forschungsdaten/</a> OA Policy URL:<a href='https://www.ipb-halle.de/fileadmin/Infrastruktur/Bibliothek/2016_IPB_open_access_Leitlinie_DE.pdf'>https://www.ipb-halle.de/fileadmin/Infrastruktur/Bibliothek/2016_IPB_open_access_Leitlinie_DE.pdf</a> OA Repositorium URL:<a href='http://www.leibnizopen.de/home/index.html'>http://www.leibnizopen.de/home/index.html</a>","http://www.wikidata.org/entity/Q1522976","Q1522976","Point(11.9447 51.4958)",51.495883,11.943814,"3"
"Q1523703","Bayern","Technische Hochschule Aschaffenburg","Aschaffenburg","Hochschule",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"16.67%",16.67,39.16,39.55,"Hochschule",NA,NA,NA,NA,NA,"opus4.kobv.de/opus4-h-ab/home",NA,"  OA Repositorium URL:<a href='opus4.kobv.de/opus4-h-ab/home'>opus4.kobv.de/opus4-h-ab/home</a>","http://www.wikidata.org/entity/Q1523703","Q1523703","Point(9.16138889 49.97194444)",49.97194444,9.16138889,"3"
"Q152838","Niedersachsen","Georg-August-Universität Göttingen","Göttingen","Universität",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,45.83,39.55,"Universität","www.uni-goettingen.de/de/63123.html",NA,NA,"www.uni-goettingen.de/%7B$lang%7D/622261.html",NA,"http://goedoc.uni-goettingen.de/","Universitätsverlag Göttingen"," OA websites:<a href='www.uni-goettingen.de/de/63123.html'>www.uni-goettingen.de/de/63123.html</a> OA Policy URL:<a href='www.uni-goettingen.de/%7B$lang%7D/622261.html'>www.uni-goettingen.de/%7B$lang%7D/622261.html</a> OA Repositorium URL:<a href='http://goedoc.uni-goettingen.de/'>http://goedoc.uni-goettingen.de/</a> OA Verlag URL:<a href='Universitätsverlag Göttingen'>Universitätsverlag Göttingen</a>","http://www.wikidata.org/entity/Q152838","Universitat de Göttingen","Point(9.93792 51.533979833)",51.533979833333,9.93792,"3"
"Q153006","Berlin","Freie Universität Berlin","Berlin","Universität",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,40.09,39.55,"Universität","www.fu-berlin.de/sites/open_access/index.html",NA,"www.fu-berlin.de/sites/open_access/akteure/index.html","https://www.fu-berlin.de/sites/open_access/akteure/oa-policy/index.html",NA,"refubium.fu-berlin.de/",NA," OA websites:<a href='www.fu-berlin.de/sites/open_access/index.html'>www.fu-berlin.de/sites/open_access/index.html</a> OA Beauftragte URL:<a href='www.fu-berlin.de/sites/open_access/akteure/index.html'>www.fu-berlin.de/sites/open_access/akteure/index.html</a> OA Policy URL:<a href='https://www.fu-berlin.de/sites/open_access/akteure/oa-policy/index.html'>https://www.fu-berlin.de/sites/open_access/akteure/oa-policy/index.html</a> OA Repositorium URL:<a href='refubium.fu-berlin.de/'>refubium.fu-berlin.de/</a>","http://www.wikidata.org/entity/Q153006","Universitat Lliure de Berlín","Point(13.290555555 52.453055555)",52.453055555556,13.290555555556,"3"
"Q153012","Brandenburg","Universität Potsdam","Potsdam","Universität",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,45,39.55,"Universität","www.ub.uni-potsdam.de/de/publizieren/open-access-publizieren",NA,NA,"13.06.2021",NA,"publishup.uni-potsdam.de/home/index/help/content/edoc_start","Universitätsverlag Potsdam"," OA websites:<a href='www.ub.uni-potsdam.de/de/publizieren/open-access-publizieren'>www.ub.uni-potsdam.de/de/publizieren/open-access-publizieren</a> OA Policy URL:<a href='13.06.2021'>13.06.2021</a> OA Repositorium URL:<a href='publishup.uni-potsdam.de/home/index/help/content/edoc_start'>publishup.uni-potsdam.de/home/index/help/content/edoc_start</a> OA Verlag URL:<a href='Universitätsverlag Potsdam'>Universitätsverlag Potsdam</a>","http://www.wikidata.org/entity/Q153012","Universitat de Potsdam","Point(13.011888888 52.401111111)",52.401111111111,13.011888888889,"3"
"Q1532259","Bayern","Wilhelm Löhe Hochschule (WLH)","Fürth","Hochschule",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,39.16,39.55,"Hochschule",NA,NA,NA,NA,NA,NA,NA," ","http://www.wikidata.org/entity/Q1532259","Q1532259","Point(10.997838888 49.459661111)",49.459661111111,10.997838888889,"3"
"Q153978","Baden-Württemberg","Universität Tübingen","Tübingen","Universität",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,35.26,39.55,"Universität","uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/",NA,NA,"uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/open-access-policy-der-universitaet-tuebingen/",NA,"publikationen.uni-tuebingen.de/xmlui/handle/10900/42126","Tübingen University Press"," OA websites:<a href='uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/'>uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/</a> OA Policy URL:<a href='uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/open-access-policy-der-universitaet-tuebingen/'>uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/open-access-policy-der-universitaet-tuebingen/</a> OA Repositorium URL:<a href='publikationen.uni-tuebingen.de/xmlui/handle/10900/42126'>publikationen.uni-tuebingen.de/xmlui/handle/10900/42126</a> OA Verlag URL:<a href='Tübingen University Press'>Tübingen University Press</a>","http://www.wikidata.org/entity/Q153978","Universitat de Tübingen","Point(9.059 48.525)",48.525,9.059,"3"
"Q153987","Baden-Württemberg","Albert-Ludwigs-Universität Freiburg","Freiburg","Universität",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,"66.67%",66.67,35.26,39.55,"Universität","www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/","Nadine Keßler","www.ub.uni-freiburg.de/kontakt/fachreferate/nadine-kessler/","www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/open-access-resolution-der-universitaet/",NA,"freidok.uni-freiburg.de/",NA," OA websites:<a href='www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/'>www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/</a> OA Beauftragte:<a href='Nadine Keßler'>Nadine Keßler</a> OA Beauftragte URL:<a href='www.ub.uni-freiburg.de/kontakt/fachreferate/nadine-kessler/'>www.ub.uni-freiburg.de/kontakt/fachreferate/nadine-kessler/</a> OA Policy URL:<a href='www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/open-access-resolution-der-universitaet/'>www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/open-access-resolution-der-universitaet/</a> OA Repositorium URL:<a href='freidok.uni-freiburg.de/'>freidok.uni-freiburg.de/</a>","http://www.wikidata.org/entity/Q153987","Universitat de Friburg de Brisgòvia","Point(7.846944444 47.994166666)",47.994166666667,7.8469444444444,"3"
"Q1540704","Baden-Württemberg","Hochschule für Technik Stuttgart","Stuttgart","Hochschule",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,35.26,39.55,"Hochschule",NA,NA,NA,NA,NA,NA,NA," ","http://www.wikidata.org/entity/Q1540704","Universitat Tecnològica de Suttgart","Point(9.17278 48.7803)",48.7803,9.17278,"3"
"Q154561","Thüringen","Friedrich-Schiller-Universität Jena","Jena","Universität",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,"66.67%",66.67,40.48,39.55,"Universität","www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access.html","Thomas Witzgall","www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access/Kontakt-EGOTEC-f1f8hj1349mm4a2ijkf36928j6-p-61067.html",NA,NA,"www.db-thueringen.de/content/index.xml",NA," OA websites:<a href='www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access.html'>www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access.html</a> OA Beauftragte:<a href='Thomas Witzgall'>Thomas Witzgall</a> OA Beauftragte URL:<a href='www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access/Kontakt-EGOTEC-f1f8hj1349mm4a2ijkf36928j6-p-61067.html'>www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access/Kontakt-EGOTEC-f1f8hj1349mm4a2ijkf36928j6-p-61067.html</a> OA Repositorium URL:<a href='www.db-thueringen.de/content/index.xml'>www.db-thueringen.de/content/index.xml</a>","http://www.wikidata.org/entity/Q154561","Universitat de Jena","Point(11.582222222 50.928333333)",50.928333333333,11.582222222222,"3"
"Q154804","Sachsen","Universität Leipzig","Leipzig","Universität",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,"83.33%",83.33,51.33,39.55,"Universität","www.ub.uni-leipzig.de/open-science/publikationsfonds/",NA,NA,"www.ub.uni-leipzig.de/fileadmin/Resources/Public/Docs/Upload_News/Heft_18_Open_Access_Policy.pdf",NA,"ul.qucosa.de/",NA," OA websites:<a href='www.ub.uni-leipzig.de/open-science/publikationsfonds/'>www.ub.uni-leipzig.de/open-science/publikationsfonds/</a> OA Policy URL:<a href='www.ub.uni-leipzig.de/fileadmin/Resources/Public/Docs/Upload_News/Heft_18_Open_Access_Policy.pdf'>www.ub.uni-leipzig.de/fileadmin/Resources/Public/Docs/Upload_News/Heft_18_Open_Access_Policy.pdf</a> OA Repositorium URL:<a href='ul.qucosa.de/'>ul.qucosa.de/</a>","http://www.wikidata.org/entity/Q154804","Universitat de Leipzig","Point(12.378727777 51.3387)",51.3387,12.378727777778,"3"
"Q1550192","Brandenburg","Filmuniversität Babelsberg Konrad Wolf","Potsdam","Universität",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"33.33%",33.33,45,39.55,"Universität","www.filmuniversitaet.de/filmuni/universitaetsbibliothek/fachinformation/opus-publikationsserver/",NA,NA,NA,NA,"opus4.kobv.de/opus4-filmuniversitaet/home",NA," OA websites:<a href='www.filmuniversitaet.de/filmuni/universitaetsbibliothek/fachinformation/opus-publikationsserver/'>www.filmuniversitaet.de/filmuni/universitaetsbibliothek/fachinformation/opus-publikationsserver/</a> OA Repositorium URL:<a href='opus4.kobv.de/opus4-filmuniversitaet/home'>opus4.kobv.de/opus4-filmuniversitaet/home</a>","http://www.wikidata.org/entity/Q1550192","Q1550192","Point(13.116667 52.388611)",52.388611,13.116667,"3"
"Q155228","Berlin","Deutsches Institut für Wirtschaftsforschung (DIW)","Berlin","Forschungsorganisation: Leibniz-Gemeinschaft",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,40.09,39.55,"ForschungsInstitution",NA,NA,NA,"https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.526355.de/diw_oa_policy_de.pdf",NA,"http://www.leibnizopen.de/home/",NA,"  OA Policy URL:<a href='https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.526355.de/diw_oa_policy_de.pdf'>https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.526355.de/diw_oa_policy_de.pdf</a> OA Repositorium URL:<a href='http://www.leibnizopen.de/home/'>http://www.leibnizopen.de/home/</a>","http://www.wikidata.org/entity/Q155228","Q155228","Point(13.3887 52.512222222)",52.512222222222,13.3887,"3"
"Q155354","Hessen","Philipps-Universität Marburg","Marburg","Universität",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,34.24,39.55,"Universität","www.uni-marburg.de/de/ub/forschen/open-access",NA,NA,"www.uni-marburg.de/de/ub/forschen/open-access/open-access-policy",NA,"archiv.ub.uni-marburg.de/ubfind/",NA," OA websites:<a href='www.uni-marburg.de/de/ub/forschen/open-access'>www.uni-marburg.de/de/ub/forschen/open-access</a> OA Policy URL:<a href='www.uni-marburg.de/de/ub/forschen/open-access/open-access-policy'>www.uni-marburg.de/de/ub/forschen/open-access/open-access-policy</a> OA Repositorium URL:<a href='archiv.ub.uni-marburg.de/ubfind/'>archiv.ub.uni-marburg.de/ubfind/</a>","http://www.wikidata.org/entity/Q155354","Universitat de Marburg","Point(8.773611111 50.810833333)",50.810833333333,8.7736111111111,"3"
