"item","name","coord","lat","lon","Wikidata.ID"
"http://www.wikidata.org/entity/Q317032","Universitat de Düsseldorf","Point(6.794169444 51.1903)",51.1903,6.7941694444444,"Q317032"
"http://www.wikidata.org/entity/Q696757","Q696757","Point(7.006111 51.463889)",51.463889,7.006111,"Q696757"
"http://www.wikidata.org/entity/Q504723","Q504723","Point(8.02833 50.9064)",50.9064,8.02833,"Q504723"
"http://www.wikidata.org/entity/Q24382","Universitat de Bielefeld","Point(8.49019 52.03764)",52.03764,8.49019,"Q24382"
"http://www.wikidata.org/entity/Q885105","Q885105","Point(7.17028 51.2653)",51.2653,7.17028,"Q885105"
"http://www.wikidata.org/entity/Q315229","Escola Superior d'Esports d'Alemanya","Point(6.86934 50.9367)",50.9367,6.86934,"Q315229"
"http://www.wikidata.org/entity/Q687017","Universitat a Distància de Hagen","Point(7.49527778 51.37722222)",51.37722222,7.49527778,"Q687017"
"http://www.wikidata.org/entity/Q2088271","Q2088271","Point(7.17827 50.7741)",50.7741,7.17827,"Q2088271"
"http://www.wikidata.org/entity/Q273263","Universitat Tècnica de Renània-Westfàlia a Aquisgrà","Point(6.078055555 50.777777777)",50.777777777778,6.0780555555556,"Q273263"
"http://www.wikidata.org/entity/Q883284","Q883284","Point(8.75494 51.7161)",51.7161,8.75494,"Q883284"
"http://www.wikidata.org/entity/Q152171","Universitat de Bonn","Point(7.102222222 50.733888888)",50.733888888889,7.1022222222222,"Q152171"
"http://www.wikidata.org/entity/Q54096","Universitat de Colònia","Point(6.928611111 50.928055555)",50.928055555556,6.9286111111111,"Q54096"
"http://www.wikidata.org/entity/Q679134","Q679134","Point(8.772222222 51.708055555)",51.708055555556,8.7722222222222,"Q679134"
"http://www.wikidata.org/entity/Q314305","Q314305","Point(7.35729 51.45227)",51.45227,7.35729,"Q314305"
"http://www.wikidata.org/entity/Q447953","Universitat de Wuppertal","Point(7.14944 51.2453)",51.2453,7.14944,"Q447953"
