"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","OA.Webseite.der.Institution","OA.Beauftragte.r","OA.Policy","OA.Leitlinie","Berliner.Erklärung","OA2020","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType"
"Q251061","Brandenburg","Potsdam-Institut für Klimafolgenforschung (PIK)","Potsdam","Forschungsorganisation: Leibniz-Gemeinschaft","https://bib.telegrafenberg.de/publizieren/open-access/",NA,"ja",NA,"ja, als WGL","ja, als WGL","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE",5,"83.33%",83.33,45,39.55,"ForschungsInstitution"
"Q191269","Brandenburg","Leibniz-Zentrum für Zeithistorische Forschung Potsdam e.V. (ZZF)","Potsdam","Forschungsorganisation: Leibniz-Gemeinschaft","https://zzf-potsdam.de/de/publikationen/open-access",NA,"ja",NA,"ja, als WGL","ja, als WGL","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE",5,"83.33%",83.33,45,39.55,"ForschungsInstitution"
"Q1623334","Brandenburg","Leibniz-Institut für Gemüse- und Zierpflanzenbau (IGZ) e.V.",NA,"Forschungsorganisation: Leibniz-Gemeinschaft","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"ForschungsInstitution"
"Q2778415","Brandenburg","Max-Planck-Institut für Gravitationsphysik (Albert-Einstein-Institut)","Potsdam","Forschungsorganisation: Max-Planck-Gesellschaft","www.aei.mpg.de/459897/publishing",NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE",5,"83.33%",83.33,45,39.55,"ForschungsInstitution"
"Q1912082","Brandenburg","Max-Planck-Institut für Kolloid- und Grenzflächenforschung","Potsdam","Forschungsorganisation: Max-Planck-Gesellschaft","www.mpikg.mpg.de/open_access",NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE",5,"83.33%",83.33,45,39.55,"ForschungsInstitution"
"Q910825","Brandenburg","Max-Planck-Institut für molekulare Pflanzenphysiologie (MPI-MP)","Potsdam","Forschungsorganisation: Max-Planck-Gesellschaft",NA,NA,"ja, als MPG",NA,"ja, als MPG","ja, als MPG","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE",4,"66.67%",66.67,45,39.55,"ForschungsInstitution"
"Q686171","Brandenburg","Technische Hochschule Wildau","Wildau","Hochschule","www.th-wildau.de/hochschule/zentrale-einrichtungen/hochschulbibliothek/open-access-und-publikationsdienste/informationen-zu-open-access/",NA,"ja",NA,"ja","nein","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,45,39.55,"Hochschule"
"Q1813793","Brandenburg","Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V., Müncheberg","Müncheberg","Forschungsorganisation: Leibniz-Gemeinschaft","https://www.zalf.de/de/struktur/bib/Seiten/Publikationsmanagement.aspx","Dr. Claus Dalchow","ja",NA,"ja, als WGL","ja, als WGL","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE",6,"100%",100,45,39.55,"ForschungsInstitution"
"Q896706","Brandenburg","Fachhochschule Potsdam","Potsdam","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,45,39.55,"Hochschule"
"Q61943383","Brandenburg","Fachhochschule Clara Hoffbauer Potsdam","Potsdam","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Hochschule"
