"lon","lat","OpenScore_institution"
7.67724,47.61733,33.33
11.9549,51.5027,16.67
13.054074,52.406958,0
9.9695055555556,53.460958333333,83.33
6.949201,50.924503,0
7.83062,48.01784,66.67
6.95417,50.9267,66.67
7.10874,49.2708,66.67
8.810833,50.806389,66.67
13.4523379,52.5039965,0
13.4346863,52.4921399,0
11.711281,48.398008,66.67
10.531262,52.212262,66.67
7.0865277777778,50.72675,100
6.78738889,51.20477778,33.33
13.0644,52.3826,83.33
13.105172,52.348441,66.67
7.13683,50.703982,83.33
9.9523,51.5615,83.33
9.1012,48.7408,16.67
6.9419,50.9799,0
13.401872,54.091638,66.67
7.409806,51.489667,66.67
13.6153,52.2926,0
9.9913888888889,53.557777777778,0
8.38552,49.0261,33.33
9.17622,48.7823,33.33
8.53472,49.4744,33.33
9.17083,48.7736,33.33
13.486328,52.523719,0
9.08139,48.7467,66.67
10.42638889,53.40444444,100
10.93889,50.68167,66.67
10.1414,54.3272,0
8.39274,49.0137,16.67
11.524444444444,48.136111111111,0
12.395507,51.3188727,83.33
7.84506,48.0275,66.67
11.583333333333,48.13,83.33
6.57061,51.3167,0
7.45779,51.5063,16.67
11.554875,48.147082,0
11.2752,51.8268,83.33
9.91772,49.798,66.67
11.5692,50.9189,16.67
7.53371,51.7326,0
7.53371,51.7326,0
9.48278,53.9572,66.67
6.90547,50.8341,0
10.15306,53.60434,0
9.67166667,53.75388889,0
7.252948,51.473987,0
13.2628,52.4234,16.67
8.62755,49.8742,0
8.78426,50.82,0
13.7993,51.0575,0
11.9665376,51.484755,0
10.07097222,53.55488889,0
13.76067694,51.05220611,0
6.09521389,50.756975,16.67
8.50315,52.0355,50
12.5369,52.4119,33.33
13.788,51.0273,0
11.0424,50.9841,0
7.76389,49.4517,33.33
10.1803,54.3328,16.67
10.69861111,53.83694444,16.67
10.8098,51.4971,0
9.1617345,53.1036354,0
8.57237,49.38351,0
13.0742,54.3394,0
9.121706,54.195439,16.67
8.34433,49.6334,0
8.52583,52.0089,0
13.26915,52.76221,0
6.88125278,50.83158056,16.67
6.7665,50.5619,0
10.10043,52.83295,0
7.0380585,49.3440644,0
9.77306,52.3661,0
12.1771,53.7836,0
11.709173,48.394205,66.67
9.35519,52.0987,0
13.5338,52.4286,50
7.59111,51.9681,66.67
8.470829,49.483842,0
8.84597,53.1078,66.67
6.74299,51.2997,0
8.684739,49.420462,50
8.42601,49.0145,66.67
10.1967,53.82,66.67
11.65275,52.138638888889,83.33
8.44153,49.0278,66.67
7.892667,47.980974,66.67
8.69741,50.1096,0
11.5305,48.13223,66.67
9.09919,48.74189,66.67
11.5283,48.1326,66.67
7.20275,50.74924,66.67
7.75219,49.4299,66.67
7.20366,50.7495,66.67
12.9681,52.4133,66.67
9.0981035,48.74104,66.67
9.09692,48.7406,66.67
11.5678,50.9085,66.67
8.68207,49.9035,66.67
8.85861,53.1014,66.67
10.9322,50.6836,66.67
13.7814,51.0298,83.33
12.9243,50.816,83.33
8.5202777777778,49.017222222222,66.67
8.84861,53.1114,66.67
11.65197,52.13924,50
9.09951,48.7417,66.67
